Scenario,Year,Control,Stored_Value,Independent_Value,Difference,Authority,Formula,Status
BASE,2030,NCI_ROLLFORWARD,16393.54389495,16393.54389495,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BASE,2030,NET_PROFIT_LINK,56565.63945018,56565.63945018,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BASE,2030,EPS_RECOMPUTE,7.54275405,7.54275405,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BASE,2030,PPE_ROLLFORWARD,55292.03077955,55292.03077955,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BASE,2030,DEBT_ROLLFORWARD,90357.96983357,90357.96983357,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BULL,2026,SEGMENT_RECONCILIATION,508555.96549006,508555.96549006,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BULL,2026,BS_IDENTITY,666068.72890281,666068.72890281,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BULL,2026,CASH_ROLLFORWARD,98068.58140862,98068.58140862,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BULL,2026,CASH_TO_BS_LINK,116717.76877961,116717.76877961,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BULL,2026,EQUITY_ROLLFORWARD,182003.38783717,182003.38783717,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BULL,2026,NCI_ROLLFORWARD,13833.47244924,13833.47244924,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BULL,2026,NET_PROFIT_LINK,48839.84040777,48839.84040777,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BULL,2026,EPS_RECOMPUTE,6.51255660,6.51255660,-0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BULL,2026,PPE_ROLLFORWARD,48174.76929522,48174.76929522,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BULL,2026,DEBT_ROLLFORWARD,79168.76960432,79168.76960432,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BULL,2027,SEGMENT_RECONCILIATION,568058.16390770,568058.16390770,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BULL,2027,BS_IDENTITY,720549.96419226,720549.96419226,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BULL,2027,CASH_ROLLFORWARD,104557.43084623,104557.43084623,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BULL,2027,CASH_TO_BS_LINK,125388.61532783,125388.61532783,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BULL,2027,EQUITY_ROLLFORWARD,198369.83274711,198369.83274711,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BULL,2027,NCI_ROLLFORWARD,14531.92779532,14531.92779532,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BULL,2027,NET_PROFIT_LINK,54099.13081376,54099.13081376,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BULL,2027,EPS_RECOMPUTE,7.21385755,7.21385755,-0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BULL,2027,PPE_ROLLFORWARD,51611.18795175,51611.18795175,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BULL,2027,DEBT_ROLLFORWARD,77774.31680430,77774.31680430,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BULL,2028,SEGMENT_RECONCILIATION,637415.14703798,637415.14703798,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BULL,2028,BS_IDENTITY,793701.31573518,793701.31573518,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BULL,2028,CASH_ROLLFORWARD,121904.30495173,121904.30495173,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BULL,2028,CASH_TO_BS_LINK,145278.87002790,145278.87002790,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BULL,2028,EQUITY_ROLLFORWARD,216569.67474495,216569.67474495,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BULL,2028,NCI_ROLLFORWARD,15308.62530117,15308.62530117,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BULL,2028,NET_PROFIT_LINK,60159.40776681,60159.40776681,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BULL,2028,EPS_RECOMPUTE,8.02196619,8.02196619,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BULL,2028,PPE_ROLLFORWARD,55786.92233848,55786.92233848,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BULL,2028,DEBT_ROLLFORWARD,86586.84730501,86586.84730501,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BULL,2029,SEGMENT_RECONCILIATION,717350.22657038,717350.22657038,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BULL,2029,BS_IDENTITY,877428.94450703,877428.94450703,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BULL,2029,CASH_ROLLFORWARD,141355.31892306,141355.31892306,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BULL,2029,CASH_TO_BS_LINK,167661.17254340,167661.17254340,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BULL,2029,EQUITY_ROLLFORWARD,236933.51458256,236933.51458256,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BULL,2029,NCI_ROLLFORWARD,16177.67370353,16177.67370353,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BULL,2029,NET_PROFIT_LINK,67312.48241803,67312.48241803,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BULL,2029,EPS_RECOMPUTE,8.97579411,8.97579411,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BULL,2029,PPE_ROLLFORWARD,60881.59415889,60881.59415889,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BULL,2029,DEBT_ROLLFORWARD,96716.02029633,96716.02029633,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BULL,2030,SEGMENT_RECONCILIATION,808853.03642567,808853.03642567,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BULL,2030,BS_IDENTITY,972861.93816351,972861.93816351,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BULL,2030,CASH_ROLLFORWARD,163202.37211110,163202.37211110,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BULL,2030,CASH_TO_BS_LINK,192863.71295757,192863.71295757,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BULL,2030,EQUITY_ROLLFORWARD,259817.47626362,259817.47626362,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BULL,2030,NCI_ROLLFORWARD,17154.27097090,17154.27097090,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BULL,2030,NET_PROFIT_LINK,75642.72163767,75642.72163767,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BULL,2030,EPS_RECOMPUTE,10.08659124,10.08659124,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BULL,2030,PPE_ROLLFORWARD,66993.29573999,66993.29573999,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BULL,2030,DEBT_ROLLFORWARD,108285.24573633,108285.24573633,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
