H1_Fact_ID,Year,Economic_Period,Metric_ID,Canonical_Metric_ID,Source_Fact_ID,Value,Unit,Analytical_Value,Analytical_Unit,Conversion_Factor,Accounting_Basis,Scope,Fact_Type,Original_or_Restated,Transformation,Source_ID,Source_Report_Period
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_BONDS,2024,2024A,NOTE_BONDS,NOTE_BONDS,ORIGINAL_REPORTED_2024_CAS::NOTE_BONDS,3266775,RMB_THOUSAND,3266.775,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_CASH_EQUIVALENTS,2024,2024A,NOTE_CASH_EQUIVALENTS,NOTE_CASH_EQUIVALENTS,ORIGINAL_REPORTED_2024_CAS::NOTE_CASH_EQUIVALENTS,55118728,RMB_THOUSAND,55118.728,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_CIP_ADDITIONS,2024,2024A,NOTE_CIP_ADDITIONS,NOTE_CIP_ADDITIONS,ORIGINAL_REPORTED_2024_CAS::NOTE_CIP_ADDITIONS,3427069,RMB_THOUSAND,3427.069,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_ACCRUED_INTEREST,2024,2024A,NOTE_DEBENTURES_ACCRUED_INTEREST,NOTE_DEBENTURES_ACCRUED_INTEREST,ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_ACCRUED_INTEREST,92096,RMB_THOUSAND,92.096,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_CLOSING,2024,2024A,NOTE_DEBENTURES_CLOSING,NOTE_DEBENTURES_CLOSING,ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_CLOSING,3266775,RMB_THOUSAND,3266.775,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_DISCOUNT_AMORTISATION,2024,2024A,NOTE_DEBENTURES_DISCOUNT_AMORTISATION,NOTE_DEBENTURES_DISCOUNT_AMORTISATION,ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_DISCOUNT_AMORTISATION,731,RMB_THOUSAND,0.731,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_FX,2024,2024A,NOTE_DEBENTURES_FX,NOTE_DEBENTURES_FX,ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_FX,48302,RMB_THOUSAND,48.302,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_OPENING,2024,2024A,NOTE_DEBENTURES_OPENING,NOTE_DEBENTURES_OPENING,ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_OPENING,3217969,RMB_THOUSAND,3217.969,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_REPAYMENT,2024,2024A,NOTE_DEBENTURES_REPAYMENT,NOTE_DEBENTURES_REPAYMENT,ORIGINAL_REPORTED_2024_CAS::NOTE_DEBENTURES_REPAYMENT,-92323,RMB_THOUSAND,-92.323,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_DIVIDENDS,2024,2024A,NOTE_DIVIDENDS,NOTE_DIVIDENDS,ORIGINAL_REPORTED_2024_CAS::NOTE_DIVIDENDS,-20764776,RMB_THOUSAND,-20764.776,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_FINANCE_INTEREST_INCOME,2024,2024A,NOTE_FINANCE_INTEREST_INCOME,NOTE_FINANCE_INTEREST_INCOME,ORIGINAL_REPORTED_2024_CAS::NOTE_FINANCE_INTEREST_INCOME,7200991,RMB_THOUSAND,7200.991,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_FINANCING_INTEREST_EXPENSE,2024,2024A,NOTE_FINANCING_INTEREST_EXPENSE,NOTE_FINANCING_INTEREST_EXPENSE,ORIGINAL_REPORTED_2024_CAS::NOTE_FINANCING_INTEREST_EXPENSE,-2453361,RMB_THOUSAND,-2453.361,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_FIXED_ASSET_DEPRECIATION,2024,2024A,NOTE_FIXED_ASSET_DEPRECIATION,NOTE_FIXED_ASSET_DEPRECIATION,ORIGINAL_REPORTED_2024_CAS::NOTE_FIXED_ASSET_DEPRECIATION,4078675,RMB_THOUSAND,4078.675,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_GOODWILL,2024,2024A,NOTE_GOODWILL,NOTE_GOODWILL,ORIGINAL_REPORTED_2024_CAS::NOTE_GOODWILL,29581014,RMB_THOUSAND,29581.014,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::NOTE_INTANGIBLE_AMORTIZATION,2024,2024A,NOTE_INTANGIBLE_AMORTIZATION,NOTE_INTANGIBLE_AMORTIZATION,ORIGINAL_REPORTED_2024_CAS::NOTE_INTANGIBLE_AMORTIZATION,1265389,RMB_THOUSAND,1265.389,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
